Title,Description,Price,Condition,Ad Posted Date,Seller Name
"Yamaha HS3 Powered Studio Monitor In Black, Pair (",Packaging: Pair 2-way bass-refiex powered speaker with 3.5″ cone woofer and 0.75″ dome tweeter 70 Hz – 22 kHz frequency response (-10 dB) 26 W + 26 W output power Room control and high trim response controls One year warranty from Nepal Music Gallery Category: Monitor Speakers,1,Brand New,10 months ago,Nepal Music Gallery
Digital Blood Pressure Monitor,"Accurate digital blood pressure monitor with LCD display. Easy to use, portable, and reliable. Price: NPR 69 Condition: Brand New Contact: stdnepal.com Phone: 9700682800 Location: Thamel, Kathmandu Email: info@stdnepal.com Website: www.stdnepal.com",69,Brand New,25 days ago,Stdnepal.Com
ASUS TUF GAMING MONITOR,"TUF Gaming Series 5 - VG34WQML5A gaming monitor ― 34-inch WQHD Fast-IPS panel, Curved design, 250Hz(OC), 0.5ms, AMD FreeSync™ Premium, Extreme Low Motion Blur, VESA DisplayHDR™ 400, 95% DCI-P3, DisplayWidget Center, Gaming AI 34-inch WQHD (3440 x 1440) 1500R curved gaming monitor with overclock to 250Hz refresh rate designed for professional gamers and immersive gameplay 1440P",87,Brand New,6 months ago,Pulse Laptop Care
"12V 1A Adapter/Charger For Router, LCD Monitor",new adapter if u are interested direct contact me...,199,Brand New,2 years ago,Ayush Poudel
Old Monitor On Sell,"old model tara kehi bigreko chaina,majja le chalcha,channel ni jodna milcha ,9701175063","1,100",Used,28 days ago,Sarobi Enterprises
"UNV HB-4022-E Wall Mount Bracket For 32"" Monitor",Model HB-4022-E Dimension（W×H×D） 140mm×120mm×42mm Weight 0.5 Kg Material SGCC Standard VESA Phone Number 9702675122,"1,249",Brand New,1 years ago,Enroz Store
"Desk Mount Bracket For 55"" Monitor HB-5055-H","Desk Mount Bracket for 55"" Monitor Dimensions : 243(W)×70(H)×66(D) Weight : 0.12 Kg Applicable Model : MW3255-F-V","1,250",Brand New,1 years ago,Rhythm Kala Suppliers (WhatsApp 9851126504)
Mini DisplayPort To VGA Monitor Adapter,"We are here to help! If you're facing any hardware or software issues with your gadgets, just contact us for the best solution. We provide software, hardware, parts, and accessories for all laptop and computer brands. Our products are genuine, high-quality, and budget-friendly. 📞 Call or message us on WhatsApp/Viber: 985-1133759","1,500",Brand New,8 months ago,A2z It Care
Teckin Smart WiFi 16A SA Plug With Energy Monitor,Teckin Smart WiFi 16A SA Plug With Energy Monitor,"1,550",Brand New,2 years ago,ONLINE EXPRESS
Curved RGB Monitor Light 60cm,"Hign-in-the-Kind Chemist None color Black Use Daily lighting Switch On/Off Touch Switch Model number Curved Monitor Light Lighting area 1-3square meters Application KITCHEN,Bedroom Number of light sources > 20 Material Plastic Shadow type No shadow It is adjustable Yes Style Modern Body Material ABS Voltage 5 Power source A.D Installation type Wall mounted Light source LED Bulbs included Yes Item Type Wall lamps","3,500",Not Working,1 years ago,Technoholic Nepal
LED Monitor Light 60cm,"Plug I Smart device node Features LED Desk Lamp Finish POLISHED CHROME Model number USB Desk Lamp Material Acrylic Switch None Base None Style Contemporary Certificate CCC,CE,ROHS Origin CN (Origin) Power source A.D Shadow type No shadow Item Type Table lamps It is adjustable Yes Bulbs included No Voltage 12V Light source energy saving Name LED Monitor Light Size 440*22*22mm Features 1 Monitor Hanging Light For Computer PC Features 2 Stepless Dimming","3,500",Not Working,1 years ago,Technoholic Nepal
17 Inch Led Monitor,SAMSUNG MONITOR synkmaster SA 100,"3,500",Used,27 days ago,Pawan BajracharyA
NB North Bayou Monitor Arm Monitor Stand Mount H80,NB North Bayou Monitor Arm Monitor Stand Monitor Desk Mount Height Adjustable VESA Bracket for 17 to 27 Inch Computer Screen - Holds up to 19.8lbs with C Clamp Bolt-Through Grommet Base H80-B https://www.rhythmkala.com,"3,500",Brand New,2 years ago,Rhythm Kala Suppliers (WhatsApp 9851126504)
TS 2300 IN EAR MONITOR TAKSTAR,"Takstar TS-2300 Blue In-Ear Monitor Earphones Blue Ear Loop headphones The Takstar TS-2300 Blue In-Ear Monitor Earphones are designed for a high-quality audio experience, tailored for entertainment live broadcast, live e-commerce, and music appreciatio Construction Method: Closed Active noise cancellation: No Sensitivity (dB): 99 Frequency Range: 20 Hz - 20 kHz","3,500",Brand New,5 months ago,Soulsound
NB F80 MONITOR RACK BLACK,Mounting Type :Desk mount Movement Type :Articulating Brand : NB North Bayou Material : Aluminum Color : Black Minimum Compatible Size : 17 Inches Compatible Devices : Monitor Maximum Tilt Angle : 85 Degrees Product Dimensions : 15.16 x 11.22 x 3.74 inches,"4,500",Brand New,7 months ago,Gaming House Nepal
Dell 19.5 Inch Monitor,Dell 19.5 inch monitor Diagonal Size 19.5 Resolution 1280 x 1024 Panel Technology TN Adjustability Tilt Ports DisplayPort 1.2 VGA Cables Power cable Delivery all over Nepal Thali / Chabahil - Kathmandu 9867179005 contact for more details,"4,500",Like New,8 months ago,Shreyan Office System Pvt Ltd
"ZILLIAN TEC MONITOR 17""","Brand: Zillion Model: ZL1701 (17"" Monitor 4:3) 5000:1 Contrast Ratio Auto Resolution Detection 1024 X 768 HD Resolution 5ms Refresh Rate Multilingual OSD Zize: 422x104x370mm Input: 1x Vga Port FOR MORE DETAILS CONTACT ON 9854028092 (WHATSAPP,VIBER).THANK YOU","4,500",Brand New,2 years ago,Informix Technologies
NB SINGLE Monitor Desk Mount Stand For Screens,NB North Bayou Monitor Desk Mount Stand Full Motion Swivel Monitor Arm with Gas Spring for 17-30''Computer Monitors(Within 4.4lbs to 19.8lbs) F80,"4,500",Brand New,2 years ago,Tech Store
15 Inch Hitech Led Monitor With VGA & HDMI,"Monitor Size : 15 inch FHD Monitor Viewing Angle : H160/V140 Max Brightness : 350cd/m2 Max Contrast Ratio : 100000:1 (DCR) Port : VGA, HDMI, Response Time : 5s Resolution : 1024X768 Colors : 16.7M (6-bit+Hi+FRC) Power Consumption : 12W","4,500",Brand New,2 years ago,New One IT Store
NB North Bayou Single Monitor Arm,"NB North Bayou Monitor Desk Mount Stand Full Motion Swivel Monitor Arm with Gas Spring for 17-30''Computer NB North Bayou monitor desk mount F80 is an ergonomics interactive display arm that allow you position your monitor wherever you need it so you can work in ergonomic comfort. It helps increase viewing comfort and reduce eye, back and neck strain. Height adjustable arm provide more work space, push away and free up table or desktop space when not in use.","4,999",Brand New,2 years ago,Gadget House Nepal
"19"" Inch Monitor HITech HDMI & VGA Port Cable HDMI","Brand : HI-Tech Size : 19 Inch Ports : HDMI , VGA Screen Resolution : 1440x900P Max Brightness : 350cd/m2 Max Contrast Ratio : 100000:1 (DCR) Warrenty : 1 Year Colors : 16.7M (6-bit+Hi+FRC) Consumption : 12W","5,000",Brand New,6 months ago,NewRoad Pashal
"DIY Wooden Studio Monitor Stands (Pair) Fits 5"" M","Selling a pair of custom-built wooden studio monitor stands, perfectly sized for 5-inch studio monitors. Solid and stable design Rich brown enamel finish (color can change) Includes headphone clip stand Ideal for home studios or creative setups Gently used, in great condition Originally custom-made, now replaced with metal stands Price: Rs. 5000 (for the pair) Location: Balaju Tarkeshwor Ktm Contact: Call or Whts App DM for more details or to view!","5,000",Like New,4 months ago,Prajwol
"Hitech 15.6"" LED Monitor With HDMI And VGA","Screen Size: 15.6 inch (39.6 cm) Connectivity Port: 1 VGA Port, 1 HDMI Port Aspect Ratio: 16:9, Brightness (Typical): 220 cd/m","5,000",Brand New,3 years ago,Technoholic Nepal
Hitech 19 Inc Monitor,1 year warrenty,"5,000",Brand New,11 months ago,Golden Vision Traders Pvt.Ltd
Zillion 17″ HD LED Monitor,"Brand: Zillion Model: ZL1701 (17"" Monitor 4:3) 5000:1 Contrast Ratio Auto Resolution Detection 1024 X 768 HD Resolution 5ms Refresh Rate Multilingual OSD Zize: 422x104x370mm Input: 1x Vga Port","5,800",Brand New,3 years ago,Gadget House Nepal
New 19inch Monitor,"FRONTECH 19 Inch HD LED Monitor | Refresh Rate 60 Hz,1440 x 900 Pixels | Wall Mountable Slim & Stylish Design with 16.7M Colors | HDMI & VGA Ports,Built-in Power Supply (MON-0071,Black) more detail in WhatsApp","5,850",Brand New,4 months ago,Kts IT Trade And Services
